Creditor No_;Datev Account No_;Fax No_;Group Vendor No_;ILN No_;No_ Series;No_;Our Account No_;Pay-to Vendor No_;Phone No_;Primary Contact No_;Registration No_;Telex No_;VAT Registration No_;Validate EU Vat Reg_ No_;akq No_ of Entries Paym_ Adv_;akq Payment Vendor No_;Address 2;Address;Application Method;Base Calendar Code;Block Payment Tolerance;Blocked;Budgeted Amount;Cash Flow Payment Terms Code;City;Construction Service;Contact;Country_Region Code;County;Currency Code;Currency Id;Datev Addressee Type;Datev Export Date;Delivery Reminder Terms;Diverse Vendors;Document Sending Profile;Don_t Export Bank Account;E-Mail;Fin_ Charge Terms Code;GLN;Gen_ Bus_ Posting Group;Global Dimension 1 Code;Global Dimension 2 Code;Home Page;IC Partner Code;Id;Image;Invoice Disc_ Code;Language Code;Last Date Modified;Last Modified Date Time;Lead Time Calculation;Location Code;Name 2;Name;Partner Type;Payment Method Code;Payment Method Id;Payment Terms Code;Payment Terms Id;Picture;Post Code;Preferred Bank Account Code;Prepayment _;Prices Including VAT;Priority;Privacy Blocked;Purchaser Code;Release Status;Release Until;Responsibility Center;SSCC Nos_;Search Name;Shipment Method Code;Shipping Agent Code;Statistics Group;Tax Area Code;Tax Liable;Telex Answer Back;Territory Code;VAT Bus_ Posting Group;Vendor Posting Group;akq Allow Payment 3rd parties;akq DTAZV Charges Rule;akq DTAZV Currency Instruction;akq Direction Code;akq Payment Type;akq Single Payment;timestamp
;;;;;;K00001;D12638;;;;37/045/48024;;;0;0;;;Groß-Berliner Damm 99;0;KRED;0;0;0,00000000000000000000;;Berlin;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IC3;;;;;{589E3208-42E1-40B6-A231-4BAD4BB3ABE0};{00000000-0000-0000-0000-000000000000};K00001;;17.09.2020 00:00:00;17.09.2020 07:06:25;;;;Dimidia Industrie Holding GmbH;0;;{00000000-0000-0000-0000-000000000000};SOFORT;{1C3634A3-4A89-424D-89D0-02220C2D4D49};;12487;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;DIMIDIA INDUSTRIE HOLDING GMBH;;;0;;0;;;IL;IC3;0;0;0;;;0;00000000557853B0
;;;;;;K00002;18295;K03838;033764 2557 00;;;;;0;0;;;Zülowstr. 5a;0;KRED;0;2;0,00000000000000000000;;Mittenwalde;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;;;{FB9CE83F-BAAE-46EB-968F-B076492FC83B};{00000000-0000-0000-0000-000000000000};K00002;;20.10.2021 00:00:00;20.10.2021 08:19:42;;A-01;GmbH;Alpha Lufttechnik Vertriebs;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301402;{79308B22-5127-4737-8D85-C57A8DD613EC};;15749;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;ALPHA/ LTE;92;;0;;0;;;IL;IL;0;0;0;;;0;00000000594C7FBD
;;+49 30 814547-890;;;;K00004;d12638;;+49 30 814547-100;;37/045/48016;;;0;0;;;Groß-Berliner Damm 99;0;KRED;0;0;0,00000000000000000000;;Berlin;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IC4;;;;;{782583AC-7500-4200-9284-AEAD7994D9C6};{00000000-0000-0000-0000-000000000000};K00004;;11.09.2020 00:00:00;11.09.2020 09:53:58;;;;Dimidia Immobilien GmbH;0;;{00000000-0000-0000-0000-000000000000};14;{566CF1E7-0BCE-42A5-B113-98CE655D47EF};;12487;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;DIMIDIA IMMOBILIEN GMBH;;;0;;0;;;IL;IC4;0;0;0;;;0;00000000556C6548
;;089 359 6183;;;;K00006;20621;;089 359 0031/32;;;;;0;0;;;Karl-Weinmair-Straße 14;0;KRED;0;0;0,00000000000000000000;;München;0;Robert Giggenbach;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info@stefan-maiergmbh.de;;;IL;;;www.stefan-maiergmbh.de;;{7D0DB6E8-F7C9-4F27-B2E8-3A521E892B91};{00000000-0000-0000-0000-000000000000};K00006;;21.02.2020 00:00:00;21.02.2020 20:44:58;;A-01;Spezialdrähte;Stefan Maier GmbH;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301402;{79308B22-5127-4737-8D85-C57A8DD613EC};;80807;HYPO;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;STEFAN MAIER GMBH;12;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DDF4
;;0041-61785-5188;;;;K00010;;;0041-61785-5271;;;;DE811149979;0;0;;;Passwangstraße 20;0;KRED;0;2;0,00000000000000000000;;Breitenbach;0;Frau;CH;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;;;;IL;;;http://www.vonroll.com;;{2042B54A-51BD-4C71-95CB-CBA7064EC639};{00000000-0000-0000-0000-000000000000};K00010;;21.02.2020 00:00:00;21.02.2020 20:44:58;;A-01;Betriebsstätte Breitenbach;#Von Roll Deutschland GmbH#;0;;{00000000-0000-0000-0000-000000000000};301402;{79308B22-5127-4737-8D85-C57A8DD613EC};;CH-4226;DB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;#VON ROLL ISOLA TROISDORF;92;;0;;0;;;IL;AL;0;0;0;;;0;0000000053C3DDF9
;;;;;;K00011;103184;K04114;030/747906-13;IN12320;;;DE811206939;0;0;;;Kanalstr. 66 - 74;0;KRED;0;0;0,00000000000000000000;;Berlin;0;Frau Göschel;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info.berlin@scherdel.de;;;IL;;;www.scherdel.de;;{B3A31910-0CA6-4A5F-89F6-EBC67D07A031};{00000000-0000-0000-0000-000000000000};K00011;;03.02.2022 00:00:00;03.02.2022 09:19:21;;A-01;;SCHERDEL Berlin;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301002;{17561B5C-5A76-4A94-9C2E-40F628FFFB45};;12357;COBA;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;SCHERDEL /FLAUGER & FLÄMIG;25;;0;;0;;;IL;IL;0;0;0;;;0;000000005A9983D8
;;;;;;K00012;;;+49 351 44834-550;;;;;0;0;;;Postfach 12 84;0;KRED;0;0;0,00000000000000000000;;Frankfurt;0;;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;info.kraftst@zoll.de;;;IL;;;www.zoll.de;;{5915C28E-3CC2-4C23-95AB-991DAC0557BB};{00000000-0000-0000-0000-000000000000};K00012;;25.01.2020 00:00:00;25.01.2020 09:35:50;;;;Hauptzollamt Frankfurt (Oder);0;LASTSCHRC;{9C3C19D6-8576-4CC9-82C4-6DFFCE468E35};SOFORT;{1C3634A3-4A89-424D-89D0-02220C2D4D49};;15202;;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;HAUPTZOLLAMT FRANKFURT (ODER);;;0;;0;;;IL;IL;0;0;0;;;0;00000000532973AA
;;0721-55901 -817;;;;K00013;104192;;0721-55901-117;;;;de143597823;0;0;;;Nordbeckenstr. 10-13;0;KRED;0;0;0,00000000000000000000;;Karlsruhe;0;Petra von Behren;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;Petra.vonBehren@itklogistics.com;;;IL;;;www.itklogistics.com;;{0A63AB80-8FBB-40C8-97C6-D77DBF979C1D};{00000000-0000-0000-0000-000000000000};K00013;;21.02.2020 00:00:00;21.02.2020 20:44:58;;A-01;Intern. Transport-Kontor GmbH;ITK;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};NETTO;{1846EC55-2A68-41F5-AC67-87CD9934BFBB};;76189;SPK;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;ITK;1;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DDFE
;;030/402038023;;;;K00016;21195;;030/402038015;;;;;0;0;;;Oranienburger Str. 170-172;0;KRED;0;0;0,00000000000000000000;;Berlin;0;Frau Winde;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;hoettgesgmbh@aol.com;;;IL;;;www.hoettges-berlin.de;;{99AA9E58-4F1F-4987-B855-A378679AC26B};{00000000-0000-0000-0000-000000000000};K00016;;21.02.2020 00:00:00;21.02.2020 20:44:58;;A-01;Kunststoffverarbeitung GmbH;Höttges;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301403;{4FB8830C-274F-4731-B5F9-54CA116F85C5};;13437;VB;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;HÖTTGES;1;;0;;0;;;IL;IL;0;0;0;;;0;0000000053C3DE04
;;030/689 891-50;;;;K00018;30336;;030/689 891-28;;30/059/05314;184543;DE136650158;0;0;;;Sieversufer 10-14;0;KRED;0;0;0,00000000000000000000;;Berlin;0;Herr Schultze;;;;{00000000-0000-0000-0000-000000000000};0;01.01.1753 00:00:00;;0;;0;zentrale@germania-werk.de;;;IL;;;www.germania-werk.de;;{7F7BCB82-A540-4B63-84C8-3B040D891DF8};{00000000-0000-0000-0000-000000000000};K00018;;09.08.2021 00:00:00;09.08.2021 07:15:59;;A-01;Schubert GmbH & Co.KG;Germania-Werk;0;CLEARING;{187E2AC4-ADCC-4DC7-8143-95F5F70E37C9};301002;{17561B5C-5A76-4A94-9C2E-40F628FFFB45};;12359;UNICREDIT;0,00000000000000000000;0;0;0;;0;01.01.1753 00:00:00;;;GERMANIA;25;;0;;0;;;IL;IL;0;0;0;;;0;0000000058940427
