article_no,reorder_qty,last_date_modified
00210254,1,2020-11-29
00214302,1,2020-11-29
00216436,0,2020-11-29
00237512,0,2020-11-29
00392891,1,2020-11-29
00476960,1,2020-11-29
00498355,1,2020-11-29
0-0740976-2,9,2020-11-29
0-0740977-1,10,2020-11-29
05920036,1,2020-11-29
05920037,80,2020-11-29
05920038,40,2020-11-29
05920039,40,2020-11-29
05920048,1,2020-11-29
05920066,1,2020-11-29
05920080,1,2020-11-29
05920081,80,2020-11-29
05920082,0,2020-11-29
05920108,30,2020-11-29
05920110,30,2020-11-29
05920192,0,2020-11-29
05920194,1,2020-11-29
05920196,1,2020-11-29
05920198,1,2020-11-29
05920203,1,2020-11-29
05920205,1,2020-11-29
05920206,1,2020-11-29
05920207,1,2020-11-29
05920209,1,2020-11-29
05920215,1,2020-11-29
05920219,1,2020-11-29
05920224,1,2020-11-29
05920401,1,2020-11-29
05930568,0,2020-11-29
05932906,1,2020-11-29
05933954,1,2020-11-29
05933956,1,2020-11-29
05934496,0,2020-11-29
05934766,0,2020-11-29
05934768,0,2020-11-29
13003000,1,2020-11-29
13003004,1,2020-11-29
150000034,1,2020-11-29
15000071,1,2020-11-29
15100004,0,2020-11-29
15100005,0,2020-11-29
15100006,0,2020-11-29
15100007,0,2020-11-29
15100027,0,2020-11-29
15100033,0,2020-11-29
15100034,0,2020-11-29
15100035,0,2020-11-29
15100036,0,2020-11-29
15100046,1,2020-11-29
15100073,0,2020-11-29
15100077,1,2020-11-29
15100094,1,2020-11-29
15100095,1,2020-11-29
15100098,1,2020-11-29
15100103,1,2020-11-29
15100105,0,2020-11-29
17000415,0,2020-11-29
17000449,0,2020-11-29
17000456,0,2020-11-29
17000457,0,2020-11-29
17000458,0,2020-11-29
17000459,0,2020-11-29
17000460,0,2020-11-29
17000461,0,2020-11-29
17000462,0,2020-11-29
17000463,0,2020-11-29
17000464,0,2020-11-29
17000465,0,2020-11-29
17000467,0,2020-11-29
17000469,0,2020-11-29
17000471,0,2020-11-29
17000535,0,2020-11-29
17200133,0,2020-11-29
