city,country,admin_name
Tokyo,Japan,Tōkyō
Jakarta,Indonesia,Jakarta
Delhi,India,Delhi
Mumbai,India,Mahārāshtra
Manila,Philippines,Manila
Shanghai,China,Shanghai
São Paulo,Brazil,São Paulo
Seoul,"Korea, South",Seoul
Mexico City,Mexico,Ciudad de México
Guangzhou,China,Guangdong
Beijing,China,Beijing
Cairo,Egypt,Al Qāhirah
New York,United States,New York
Kolkāta,India,West Bengal
Moscow,Russia,Moskva
Bangkok,Thailand,Krung Thep Maha Nakhon
Buenos Aires,Argentina,"Buenos Aires, Ciudad Autónoma de"
Shenzhen,China,Guangdong
Dhaka,Bangladesh,Dhaka
Lagos,Nigeria,Lagos
Istanbul,Turkey,İstanbul
Ōsaka,Japan,Ōsaka
Karachi,Pakistan,Sindh
Bangalore,India,Karnātaka
Tehran,Iran,Tehrān
Kinshasa,Congo (Kinshasa),Kinshasa
Ho Chi Minh City,Vietnam,Hồ Chí Minh
Los Angeles,United States,California
Rio de Janeiro,Brazil,Rio de Janeiro
Nanyang,China,Henan
Baoding,China,Hebei
Chennai,India,Tamil Nādu
Chengdu,China,Sichuan
Lahore,Pakistan,Punjab
Paris,France,Île-de-France
London,United Kingdom,"London, City of"
Linyi,China,Shandong
Tianjin,China,Tianjin
Shijiazhuang,China,Hebei
Zhoukou,China,Henan
Lima,Peru,Lima
Hyderābād,India,Telangana
Handan,China,Hebei
Bogotá,Colombia,Bogotá
Weifang,China,Shandong
Nagoya,Japan,Aichi
Wuhan,China,Hubei
Heze,China,Shandong
Ganzhou,China,Jiangxi
Tongshan,China,Jiangsu
Chicago,United States,Illinois
Luanda,Angola,Luanda
Changsha,China,Hunan
Fuyang,China,Anhui
Kuala Lumpur,Malaysia,Kuala Lumpur
Jining,China,Shandong
Dongguan,China,Guangdong
Jinan,China,Shandong
Foshan,China,Guangdong
Hanoi,Vietnam,Hà Nội
Pune,India,Mahārāshtra
Chongqing,China,Chongqing
Changchun,China,Jilin
Zhumadian,China,Henan
Ningbo,China,Zhejiang
Cangzhou,China,Hebei
Nanjing,China,Jiangsu
Hefei,China,Anhui
Ahmedabad,India,Gujarāt
Hong Kong,Hong Kong,
Zhanjiang,China,Guangdong
Shaoyang,China,Hunan
