vendor_no,vendor_name,order_no,delivery_no,city,postcode,state,community,country,longitude,latitude,expected_date,order_date,posting_date,promised_date,requested_date,delivery_date,region,days_variance,otd_ld
K00016,Höttges,EB19/3307,40063527,Berlin,13437,Berlin,"Berlin, Stadt",Germany,13.3284,52.5905,2019-12-13,2019-10-29,2019-12-30,2019-12-13,2019-12-13,2019-12-18,Germany,-5,Late Delivery
K00016,Höttges,EB19/3307,40063526,Berlin,13437,Berlin,"Berlin, Stadt",Germany,13.3284,52.5905,2019-12-13,2019-10-29,2019-12-30,2019-12-13,2019-12-13,2019-12-16,Germany,-3,Late Delivery
K00268,Electrovac Hacht & Huber GmbH,EB19/2763,27602381,Salzweg,94121,Bayern,Landkreis Passau,Germany,13.4833,48.6167,2019-12-13,2019-08-22,2019-12-30,2019-12-13,2019-12-13,2019-12-19,Germany,-6,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C004,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3876,52.73,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C004,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2746,52.8261,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C004,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.242,52.7558,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C004,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3766,52.7553,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C004,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3257,52.8596,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C004,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3878,52.7838,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C004,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3259,52.7682,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C004,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2146,52.8148,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C004,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2799,52.7947,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C004,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2922,52.803,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C005,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3876,52.73,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C005,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2746,52.8261,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C005,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.242,52.7558,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C005,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3766,52.7553,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C005,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3257,52.8596,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C005,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3878,52.7838,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C005,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3259,52.7682,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C005,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2146,52.8148,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C005,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2799,52.7947,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C005,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2922,52.803,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C007,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3876,52.73,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C007,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2746,52.8261,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C007,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.242,52.7558,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C007,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3766,52.7553,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C007,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3257,52.8596,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C007,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3878,52.7838,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C007,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3259,52.7682,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C007,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2146,52.8148,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C007,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2799,52.7947,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C007,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2922,52.803,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C006,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3876,52.73,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C006,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2746,52.8261,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C006,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.242,52.7558,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C006,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3766,52.7553,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C006,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3257,52.8596,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C006,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3878,52.7838,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C006,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.3259,52.7682,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C006,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2146,52.8148,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C006,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2799,52.7947,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C006,Oranienburg,16515,Brandenburg,Landkreis Oberhavel,Germany,13.2922,52.803,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K04660,Horst Scholz GmbH & Co. KG,EB19/2636,HDE0H06007,Kronach,96317,Bayern,Landkreis Kronach,Germany,11.3331,50.2396,2020-03-01,2019-12-08,2020-07-01,2020-03-01,2020-03-01,2020-06-01,Germany,-92,Late Delivery
K01401,TransPak GmbH,EB19/3940,KU00080860,Berlin,13509,Berlin,"Berlin, Stadt",Germany,13.3006,52.5892,2020-10-01,2019-12-19,2020-07-01,2020-10-01,2020-10-01,2020-06-01,Germany,122,On-Time Delivery
K04797,Rausch & Pausch GmbH,EB19/3735,RA00000305,Selb,95100,Bayern,Wunsiedel i.Fichtelgebirge,Germany,12.1305,50.1706,2020-10-01,2019-03-12,2020-09-01,2020-10-01,2019-06-12,2020-08-01,Germany,61,On-Time Delivery
K03447,Weppler Filter GmbH,EB19/3348,HDE0H39001,Oberursel,61440,Hessen,Hochtaunuskreis,Germany,8.5775,50.2073,2020-10-01,2019-10-31,2020-09-01,2020-10-01,2020-10-01,2020-08-01,Germany,61,On-Time Delivery
K04797,Rausch & Pausch GmbH,EB19/3711,RA00000320,Selb,95100,Bayern,Wunsiedel i.Fichtelgebirge,Germany,12.1305,50.1706,2020-10-01,2019-11-28,2020-09-01,2020-10-01,2019-12-13,2020-08-01,Germany,61,On-Time Delivery
K03959,Robert Bosch GmbH,EB19/3261,ZG00003066,Blaichach,87542,,,Germany,,,2020-07-01,2019-10-23,2020-10-01,2020-07-01,2020-07-01,2020-09-01,Germany,-62,Late Delivery
K02728,Gebrüder Dreher,EB19/3272,17000305,Egesheim,78592,Baden-Württemberg,Landkreis Tuttlingen,Germany,8.8564,48.1172,2019-12-20,2019-10-23,2020-10-01,2019-12-20,2019-12-20,2020-09-01,Germany,-256,Late Delivery
K04820,ON Metall GmbH,EB19/2615,02175132,Sundern,59846,Nordrhein-Westfalen,Hochsauerlandkreis,Germany,8.0037,51.3281,2020-10-01,2019-09-08,2020-10-01,2020-10-01,2019-12-13,2020-09-01,Germany,30,On-Time Delivery
