vendor_no,vendor_name,order_no,delivery_no,city,postcode,country,longitude,latitude,expected_date,order_date,posting_date,promised_date,requested_date,delivery_date,region,days_variance,otd_ld
K00016,Höttges,EB19/3307,40063527,Berlin,13437,Germany,13.3313128005558,52.5918836351775,2019-12-13,2019-10-29,2019-12-30,2019-12-13,2019-12-13,2019-12-18,Germany,-5,Late Delivery
K00016,Höttges,EB19/3307,40063526,Berlin,13437,Germany,13.3313128005558,52.5918836351775,2019-12-13,2019-10-29,2019-12-30,2019-12-13,2019-12-13,2019-12-16,Germany,-3,Late Delivery
K00268,Electrovac Hacht & Huber GmbH,EB19/2763,27602381,Salzweg,94121,Germany,13.4769034691767,48.624597746639,2019-12-13,2019-08-22,2019-12-30,2019-12-13,2019-12-13,2019-12-19,Germany,-6,Late Delivery
K03974,M.S. Ambrogio  S.p.A.,EB19/2849,HES0076418,Cisano Bergamosco,IT-24034,Italy,,,2020-10-01,2019-03-09,2019-12-30,2020-10-01,2020-10-01,2019-12-17,Europe,289,On-Time Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C004,Oranienburg,16515,Germany,13.2607407059652,52.7997450937298,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C005,Oranienburg,16515,Germany,13.2607407059652,52.7997450937298,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C007,Oranienburg,16515,Germany,13.2607407059652,52.7997450937298,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K03806,SURFACED GmbH,EB19/3814,KP0064C006,Oranienburg,16515,Germany,13.2607407059652,52.7997450937298,2019-12-20,2019-11-12,2020-09-01,2019-12-20,2019-12-20,2020-08-01,Germany,-225,Late Delivery
K04660,Horst Scholz GmbH & Co. KG,EB19/2636,HDE0H06007,Kronach,96317,Germany,11.336161555901,50.2462852462477,2020-03-01,2019-12-08,2020-07-01,2020-03-01,2020-03-01,2020-06-01,Germany,-92,Late Delivery
K01401,TransPak GmbH,EB19/3940,KU00080860,Berlin,13509,Germany,13.3021583893308,52.5914792966052,2020-10-01,2019-12-19,2020-07-01,2020-10-01,2020-10-01,2020-06-01,Germany,122,On-Time Delivery
