provider_no,city,last_date_modified,location_code,post_code,search_name
K00002,Mittenwalde,2021-10-20,A-01,15749,ALPHA/ LTE
K00006,München,2020-02-21,A-01,80807,STEFAN MAIER GMBH
K00010,Breitenbach,2020-02-21,A-01,CH-4226,VON ROLL ISOLA TROISDORF
K00011,Berlin,2022-03-02,A-01,12357,SCHERDEL /FLAUGER & FLÄMIG
K00013,Karlsruhe,2020-02-21,A-01,76189,ITK
K00016,Berlin,2020-02-21,A-01,13437,HÖTTGES
K00018,Berlin,2021-09-08,A-01,12359,GERMANIA
K00021,Berlin,2020-02-21,A-01,13581,TRESKE
K00022,Berlin,2020-02-21,A-01,10587,ROHDE & SCHWARZ
K00025,Berlin,2020-02-21,A-01,12059,FAPACK
K00026,Kleinmachnow,2021-10-20,A-01,14532,ATLAS COPCO
K00029,Schwalbach,2020-02-21,A-01,65824,HOPF VERTRIEBSGESELLSCHAFT
K00030,Blomberg,2020-02-21,A-01,32825,PHOENIX
K00031,Schwabach,2020-02-21,A-01,91126,RIBE RICHARD BERGNER
K00033,Berlin,2020-04-21,A-01,12277,BEZET-WERK GMBH
K00035,Berlin,2020-02-21,A-01,10369,FESTO AG
K00038,Iserlohn,2020-02-21,A-01,58642,NOBITSCHEK
K00039,Lichtenstein,2020-02-21,A-01,72805,BAUMANN
K00040,Berlin,2020-01-25,B-01,14199,GEYER
K00041,Hamburg,2020-02-21,A-01,20253,BEIERSDORF
K00043,Wildau,2021-12-04,A-01,15745,STOROPACK SCHULZE
K00044,Traunreut,2020-02-21,A-01,83301,HEIDENHAIN
K00045,Lyss,2020-02-21,A-01,CH-250,FEINTOOL
K00046,Malente,2020-07-04,A-01,23714,KENDRION KUHNKE
K00050,Lörrach,2020-09-12,A-01,79540,NSI
K00051,Mainz-Kastel,2020-02-21,A-01,55252,NETTER GMBH
K00052,Ilsenburg,2020-02-21,A-01,38871,ELSOLD/ JL GOSLAR
K00054,Chemnitz,2020-02-21,A-01,09116,DMG CHEMNITZ
K00055,Hamburg,2020-02-21,A-01,21107,MANKIEWICZ
K00059,Schkeuditz,2021-12-22,A-01,04435,MÜLLER
K00060,Hassmersheim/Baden,2021-09-16,A-01,74855,FIBRO
K00070,Neuss 1,2020-02-21,A-01,41460,3 M DEUTSC
K00072,Essen,2020-02-21,A-01,45145,MAGNEQUENCH
K00073,Nauen,2020-02-21,A-01,14633,TREBES
K00074,Berlin,2020-01-25,A-01,10969,GEISLER
K00085,Berlin,2020-01-25,A-01,12359,INHA
K00086,Berlin,2020-01-25,B-01,12099,BRAMMER/FREUDENBERG
K00087,Wertheim,2020-02-21,A-01,97877,ERSA
K00092,Berlin,2021-01-27,A-01,12099,WITTE
K00110,Norderstedt,2020-02-21,A-01,22844,SAINT GOBAIN DIAMANT
K00111,Wesseling,2020-02-21,A-01,50389,SAINT GOBAIN ABRASIVES
K00115,Freienbach,2020-02-21,A-01,CH-8807,METEOR AG
K00130,Reichshof - Eckenhagen,2020-01-25,A-01,51574,ELEKTRISOLA
K00131,Iserlohn,2021-01-26,A-01,58584,"EDELHOFF, ADOLF"
K00139,Volkmarsen,2020-02-21,A-01,34471,ZEVATRON
K00140,Leonberg,2020-02-21,A-01,71229,DORFNER/CARBO GROUP LEONBERG
K00141,Berlin,2020-01-25,A-01,13355,GRÜNBERG
K00147,Völklingen,2020-02-21,A-01,66333,SAAR-BANDSTAHL
K00158,Berlin,2021-12-16,A-01,13407,KAISER+KRAFT
K00163,Eurasburg,2020-02-21,A-01,86495,STARMOTEC
K00166,Hirschau,2021-12-13,A-01,92240,CONRAD ELECTRONIC
K00168,Heroldsberg,2021-11-23,A-01,90562,WALTER SCHÖN
K00169,Puschendorf,2020-01-25,B-01,90617,BRANDER & SÖHNE KG
K00192,Berlin,2020-02-21,A-01,12103,TÜV CERT BLN
K00194,Rellingen,2020-02-21,A-01,25462,NILFISK
K00202,Scheer,2021-02-25,B-01,72516,SPÄH
K00203,Nürnberg,2020-02-21,A-01,90408,JOSEPH MÜLLER
K00204,Berlin,2020-01-25,B-01,12161,IRON GMBH
K00206,Sunder/Amecke,2020-02-21,A-01,59846,KAISER+WALTERMANN
K00207,Berlin,2020-02-21,A-01,10829,ROSKODEN
K00208,Potsdam,2020-02-21,A-01,14482,IBL
K00209,Berlin,2021-10-20,A-01,12101,LOTHAR WEHRLE
K00210,Herborn,2020-02-21,A-01,35726,RITTAL
K00222,Berlin,2020-02-21,A-01,10589,CITY CLEAN
K00224,Berlin,2020-02-21,A-01,13581,DORDEL DEUTSCHE AUFZUGSTECHNIK
K00240,Mannheim,2020-02-21,A-01,68275,MIKI PLASTIK
K00244,Pfullingen,2020-02-21,A-01,72793,KNÖRZER
K00246,Berlin,2021-10-20,A-01,10787,OTIS GMBH & CO OHG
K00250,Berlin 31,2020-02-21,A-01,10709,BIRKLE &
K00253,Idar-Oberstein,2021-10-20,A-01,55743,LOCH
K00254,Berlin,2020-02-21,A-01,14167,SCHEMPP+DECKER
