lieferzeile_no,order_no,buy_from_city,buy_from_post_code,buy_from_vendor_name,location_code,order_date,original_date,posting_date,promised_receipt_date,quantity_invoiced,quantity,really_receipt_datetime,requested_receipt_date
00451185,EB19/2893,Altena-Dahle,58754,Möhling GmbH & Co. KG,B-01,2019-09-23,2019-12-17,2019-12-30,2019-12-17,22730,22730,2019-12-16,2019-12-17
17000040,EB19/3532,Mörfelden-Walldorf,64546,RS Components GmbH,B-01,2019-11-15,2019-12-17,2019-12-30,2019-12-17,15,15,1753-01-01,2019-12-17
KS00520714,EB19/3570,Carei Jud. Satu Mare,RO - 445100,Taygan Metal Press SRL,B-01,2019-12-19,2019-12-19,2019-12-30,2019-12-19,2000,2000,1753-01-01,2019-12-19
KS00525776-1,EB19/3737,Ebersbach,73061,Bodycote,B-01,2019-03-12,2019-03-12,2019-12-30,2020-06-01,300,300,1753-01-01,2019-12-18
MV00491619,EB19/2532,Velbert,42551,Heismann Drehtechnik,B-01,2019-03-07,2019-12-18,2019-12-30,2019-12-18,8704,8704,1753-01-01,2019-12-18
RS00402905,EB19/1419,AS Oldenzaal,NL-7575,Vernay Europa B.V.,B-01,2019-11-29,2019-12-20,2019-12-30,2019-12-20,412,412,1753-01-01,2019-12-18
40063527,EB19/3307,Berlin,13437,Höttges,A-01,2019-10-29,2019-12-13,2019-12-30,2019-12-13,3200,3200,2019-12-18,2019-12-13
40063526,EB19/3307,Berlin,13437,Höttges,A-01,2019-10-29,2019-12-13,2019-12-30,2019-12-13,3200,3200,2019-12-16,2019-12-13
TZ00477004,EB19/1845,Ispringen,75110,Egon Nesper GmbH & Co. KG,A-01,2019-04-06,2019-12-17,2019-12-30,2019-12-17,10000,10000,2019-12-18,1753-01-01
27602381,EB19/2763,Salzweg,94121,Electrovac Hacht & Huber GmbH,A-01,2019-08-22,2019-12-13,2019-12-30,2019-12-13,1014,1014,2019-12-19,2019-12-13
D440000511,EB19/3389,Neunkirchen,91077,SKP Technik GmbH,A-01,2019-04-11,2019-12-13,2019-12-30,2019-12-13,55,55,2019-12-18,1753-01-01
HES0076418,EB19/2849,Cisano Bergamosco,IT-24034,M.S. Ambrogio  S.p.A.,A-01,2019-03-09,2020-10-01,2019-12-30,2020-10-01,54780,54780,2019-12-17,2020-10-01
00451185,EB19/2893,Altena-Dahle,58754,Möhling GmbH & Co. KG,B-01,2019-09-23,2019-12-17,2019-12-30,2019-12-17,22730,22730,2019-12-16,2019-12-17
KU00321856,EB19/3879,Oranienburg,16515,SURFACED GmbH,B-01,2019-11-22,2020-06-01,2020-08-01,2020-06-01,3200,3200,1753-01-01,2020-06-01
WB00000011,EB19/3562,Berlin,12203,Willy Neumann e. K.,B-01,2019-11-18,2020-09-01,2020-08-01,2020-09-01,10000,10000,1753-01-01,2020-09-01
NW00000500,EB19/3269,Isernhagen,30916,Nordpack GmbH,B-01,2019-10-23,2020-09-01,2020-08-01,2020-09-01,14400,14400,1753-01-01,2020-09-01
MV00491619-1,EB19/3683,Benshausen,98554,Menz Industriedienst-,B-01,2019-11-27,2022-02-02,2020-08-01,2022-02-02,8704,8704,1753-01-01,2019-11-12
17000183,EB19/3546,Berlin,12357,SCHERDEL Berlin GmbH & Co. KG,B-01,2019-11-15,2020-07-01,2020-08-01,2020-07-01,5000,5000,1753-01-01,2020-01-17
M0000146,EB19/3795,Berlin,10553,Th. Geyer GmbH & Co. KG,B-01,2019-11-12,2022-02-02,2020-09-01,2022-02-02,50,50,1753-01-01,2020-08-01
M0000125,EB19/3795,Berlin,10553,Th. Geyer GmbH & Co. KG,B-01,2019-11-12,2020-08-01,2020-09-01,2020-08-01,5,5,1753-01-01,2020-08-01
M0000135,EB19/3795,Berlin,10553,Th. Geyer GmbH & Co. KG,B-01,2019-11-12,2022-02-02,2020-09-01,2022-02-02,1000,1000,1753-01-01,2020-08-01
KP0064C004,EB19/3814,Oranienburg,16515,SURFACED GmbH,A-01,2019-11-12,2019-12-20,2020-09-01,2019-12-20,2320,2320,2020-08-01,2019-12-20
KP0064C005,EB19/3814,Oranienburg,16515,SURFACED GmbH,A-01,2019-11-12,2019-12-20,2020-09-01,2019-12-20,2250,2250,2020-08-01,2019-12-20
KP0064C007,EB19/3814,Oranienburg,16515,SURFACED GmbH,A-01,2019-11-12,2019-12-20,2020-09-01,2019-12-20,6300,6300,2020-08-01,2019-12-20
