vendor_no,vendor_name,vendor_city,country,region,order_no,order_date,delivery_no,promised_date,delivery_date,days_variance,otd_ld
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/1707,2021-07-06,05920210,2022-01-19,2022-01-18,1,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/3438,2021-10-12,05920408,2022-01-14,2022-01-13,1,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/3438,2021-10-12,05920406,2022-01-14,2022-01-13,1,"On-Time Delivery"
K00033,"Bezet-Werk GmbH",Berlin,Germany,Germany,EB21/3654,2021-12-14,KP0064C015,2022-01-14,2022-01-13,322,"On-Time Delivery"
K04413,"Kuhle Industrie-Galvanik GmbH",Berlin,Germany,Germany,EB21/3535,2021-03-12,KS00525009-1,2021-12-17,2021-12-16,1,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/3294,2021-01-12,28000916,2021-12-15,2021-12-14,1,"On-Time Delivery"
K04386,"Diehl Metal Applications GmbH",Berlin,Germany,Germany,EB21/3412,2021-11-17,KU00022235,2021-12-15,2021-12-14,1,"On-Time Delivery"
K03230,"FSD Lwerk Berlin Brandenburg",Berlin,Germany,Germany,EB21/3459,2021-11-17,HES0082504,2021-12-15,2021-12-14,1,"On-Time Delivery"
K03230,"FSD Lwerk Berlin Brandenburg",Berlin,Germany,Germany,EB21/3458,2021-11-17,HES0001602,2021-12-15,2021-12-14,1,"On-Time Delivery"
K02699,"Ahlberg Metalltechnik GmbH",Berlin,Germany,Germany,EB21/3230,2021-04-11,17200119-1,2021-12-13,2021-12-12,1,"On-Time Delivery"
K02169,"Hans-Erich Gemmel & Co GmbH",Berlin,Germany,Germany,EB21/2394,2021-08-13,17001019,2021-12-13,2021-12-12,3,"On-Time Delivery"
K02699,"Ahlberg Metalltechnik GmbH",Berlin,Germany,Germany,EB21/2309,2021-10-08,17200119-1,2021-11-19,2021-11-18,1,"On-Time Delivery"
K00074,"Gebr. Geisler GmbH",Berlin,Germany,Germany,EB21/2080,2021-07-16,19600105,2021-11-19,2021-11-18,1,"On-Time Delivery"
K04413,"Kuhle Industrie-Galvanik GmbH",Berlin,Germany,Germany,EB21/3311,2021-11-11,DR00551024,2021-11-19,2021-11-18,1,"On-Time Delivery"
K04413,"Kuhle Industrie-Galvanik GmbH",Berlin,Germany,Germany,EB21/3203,2021-05-11,KS00520726-1,2021-11-19,2021-11-18,1,"On-Time Delivery"
K04413,"Kuhle Industrie-Galvanik GmbH",Berlin,Germany,Germany,EB21/3310,2021-03-11,KS00525005-1,2021-11-19,2021-11-18,1,"On-Time Delivery"
K00074,"Gebr. Geisler GmbH",Berlin,Germany,Germany,EB21/2076,2021-07-15,19600077,2021-11-17,2021-11-16,1,"On-Time Delivery"
K00623,"Brenntag GmbH",Berlin,Germany,Germany,EB21/2565,2021-10-09,M20020211,2021-12-11,2021-11-11,30,"On-Time Delivery"
