vendor_no,purchase_no,amount,location_code,order_date,qty_invoiced,qty_received,qty,receipt_date,requested_date
K04149,MS00203015,9460.13,B-01,2020-02-07,1250,1250,1250,2021-07-22,2020-10-09
K04149,MS00203015,9460.13,B-01,2019-09-24,1250,1250,1250,2021-07-22,2021-03-15
K04149,DA00114007,8247.23,B-01,2021-06-08,2415,2415,2415,2021-07-22,2021-06-08
K04797,RA00000360,83.5,A-01,2019-08-10,5000,5000,5000,2020-01-14,2019-10-28
K04797,RA00000370,51.75,A-01,2019-08-10,1500,1500,1500,2020-01-14,2019-10-28
K04797,RA00000380,1233.54,A-01,2019-09-26,9900,9900,9900,2020-01-14,2019-10-28
K04797,RA00000330,7569.0,A-01,2019-08-10,18000,18000,18000,2020-01-14,2019-12-12
K02804,HD00105007,3445.2,B-01,2021-12-02,1080,1080,1080,2021-07-29,2021-02-07
K04797,RA00000245,1103.88,A-01,2020-08-01,2322,2322,2322,2020-01-23,2020-01-22
K04797,RA00000360,501.0,A-01,2020-02-01,30000,30000,30000,2020-01-23,2020-01-22
K04797,RA00000245,123.6,A-01,2020-08-01,260,260,260,2020-01-23,2020-01-22
K04797,RA00000780,209.87,A-01,2020-08-01,260,260,260,2020-01-23,2020-01-22
K04797,RA00000780,2366.71,A-01,2020-02-01,2932,2932,2932,2020-01-23,2020-01-22
K04797,RA00000340,12340.22,A-01,2020-02-01,2304,2304,2304,2020-01-23,2020-01-22
K04386,28000916,2211.3,A-01,2020-01-27,10530,10530,10530,2020-09-02,2020-10-02
K03088,05920105,3765.0,A-01,2020-01-17,125,125,125,2020-11-02,2020-07-02
K00633,39403559,42.5,A-01,2019-12-17,500,500,500,2020-01-28,2020-01-31
K00633,29300357,13.0,A-01,2020-02-01,1000,1000,1000,2020-01-28,2020-01-31
K00633,90401313,50.0,A-01,2020-08-01,2000,2000,2000,2020-01-28,2020-01-29
K00951,00980107,214.2,A-01,2020-01-23,2,2,2,2020-02-18,2020-02-20
K03665,18200836,439.0,A-01,2020-01-22,100,100,100,2020-02-19,2020-02-21
K03192,18000013,717.5,A-01,2020-01-27,5000,5000,5000,2020-03-18,2020-03-20
