purchase_no,amount_including_vat,amount,expected_receipt_date,location_code,order_date,quantity_invoiced,quantity_received,quantity,really_receipt_datetime,requested_receipt_date
MS00203015,10973.75,9460.13,2020-10-09,B-01,2020-02-07,1250,1250,1250,2021-07-22,2020-10-09
MS00203015,11257.55,9460.13,2021-12-03,B-01,2019-09-24,1250,1250,1250,2021-07-22,2021-03-15
DA00114007,9814.21,8247.23,2021-06-08,B-01,2021-06-08,2415,2415,2415,2021-07-22,2021-06-08
RA00000360,99.36,83.5,2019-11-29,A-01,2019-08-10,5000,5000,5000,2020-01-14,2019-10-28
RA00000370,61.59,51.75,2019-11-29,A-01,2019-08-10,1500,1500,1500,2020-01-14,2019-10-28
RA00000380,1467.91,1233.54,2020-01-16,A-01,2019-09-26,9900,9900,9900,2020-01-14,2019-10-28
RA00000330,9007.11,7569.0,2019-12-12,A-01,2019-08-10,18000,18000,18000,2020-01-14,2019-12-12
HD00105007,4099.79,3445.2,2021-07-30,B-01,2021-12-02,1080,1080,1080,2021-07-29,2021-02-07
RA00000245,1313.62,1103.88,2020-02-18,A-01,2020-08-01,2322,2322,2322,2020-01-23,2020-01-22
RA00000360,596.19,501.0,2020-01-24,A-01,2020-02-01,30000,30000,30000,2020-01-23,2020-01-22
RA00000245,147.08,123.6,2020-01-24,A-01,2020-08-01,260,260,260,2020-01-23,2020-01-22
RA00000780,249.75,209.87,2020-01-24,A-01,2020-08-01,260,260,260,2020-01-23,2020-01-22
RA00000780,2816.38,2366.71,2020-01-24,A-01,2020-02-01,2932,2932,2932,2020-01-23,2020-01-22
RA00000340,14684.86,12340.22,2020-01-24,A-01,2020-02-01,2304,2304,2304,2020-01-23,2020-01-22
28000916,2211.3,2211.3,2020-10-02,A-01,2020-01-27,10530,10530,10530,2020-09-02,2020-10-02
05920105,4480.35,3765.0,2020-12-02,A-01,2020-01-17,125,125,125,2020-11-02,2020-07-02
39403559,45.48,42.5,2020-01-31,A-01,2019-12-17,500,500,500,2020-01-28,2020-01-31
29300357,13.91,13.0,2020-01-31,A-01,2020-02-01,1000,1000,1000,2020-01-28,2020-01-31
90401313,53.5,50.0,2020-01-29,A-01,2020-08-01,2000,2000,2000,2020-01-28,2020-01-29
00980107,254.9,214.2,2020-02-20,A-01,2020-01-23,2,2,2,2020-02-18,2020-02-20
18200836,469.73,439.0,2022-02-02,A-01,2020-01-22,100,100,100,2020-02-19,2020-02-21
